"id_produk";"Title";"Price";"Luas_Bangunan";"Luas_Tanah";"Kamar_Tidur";"Tipe_Properti";"Tipe_Penawaran";"Lokasi"
"5748";"447.Delta Magnolia Grand Delta Sari Sidoarjo";"950000000";"43";"91";"2";"Rumah";"Dijual";"Sidoar"
"5749";"985. Unimas Garden Regency Waru Sidoarjo";"1300000000";"120";"144";"3";"Rumah";"Dijual";"Sidoar"
"5750";"1063. Dijual rumah murah Bumi Gedangan Indah Blok A Gedangan Sidoarjo";"1500000000";"112";"112";"2";"Rumah";"Dijual";"Sidoar"
"5751";"Dijual Rumah Lokasi Waru Di Perumahan Delta Sari Indah";"1200000000";"75";"98";"2";"Rumah";"Dijual";"Sidoar"
"5752";"Dijual Rumah Perum Puri Surya Jaya Gedangan Sidoarjo";"970000000";"105";"105";"3";"Rumah";"Dijual";"Sidoar"
"5753";"RUMAH CITRA HARMONI MURAH SIDOARJO";"730000000";"36";"91";"2";"Rumah";"Dijual";"Sidoar"
"5754";"Rumah 1 Lantai Sangat Terawat Kompleks Exclusive";"1300000000";"120";"144";"4";"Rumah";"Dijual";"Sidoar"
"5755";"Belimbing Pocan Type B - New Gress Minimalis Hook";"1100000000";"100";"60";"2";"Rumah";"Dijual";"Sidoar"
"5756";"Kahuripan Nirwana - New Gress Dekat Pintu Tol Sidoarjo";"950000000";"150";"108";"3";"Rumah";"Dijual";"Sidoar"
"5757";"Kahuripan Nirwana - New Gress Rumah Siap Huni Lokasi Strategis";"875000000";"150";"144";"2";"Rumah";"Dijual";"Sidoar"
"5758";"Belimbing Pocan Type B - New Gress Minimalis Hook";"1100000000";"100";"60";"2";"Rumah";"Dijual";"Sidoar"
"5759";"(CA254) Termurah Rumah hadap selatan sangat modern digraha tirta ";"1600000000";"90";"150";"4";"Rumah";"Dijual";"Sidoar"
